Company;Product;Energy_kcal;Carbs_g;Protein_g;Fat_g;Price_TL;Category;Protein_Source;Size;Brand_Tier;Calorie_per_TL;Protein_per_TL;Fat_Ratio;Protein_Ratio;Carb_Ratio;Is_Premium;Total_Macros_g;Price_per_Macro_g;Price_Segment
Burger King;Rodeo Whopper;988,21;60,28;37,86;87,17;390;Burger;Beef;Regular;Global Chain;2,53;0,0971;79,4;15,3;24,4;0;185,3;2,1;Above Median
Burger King;Planty Whopper;582,61;56,76;24,06;35,88;340;Burger;Vegetarian;Regular;Global Chain;1,71;0,0708;55,4;16,5;39;0;116,7;2,91;Below Median
Burger King;King Beef Burger;1283,35;51,4;47,34;119,88;530;Burger;Beef;Regular;Global Chain;2,42;0,0893;84,1;14,8;16;1;218,6;2,42;Above Median
Burger King;Trüflü King Beef Burger;1325,35;50,69;47,71;102,26;530;Burger;Beef;Regular;Global Chain;2,5;0,09;69,4;14,4;15,3;1;200,7;2,64;Above Median
Burger King;Chicken Big King;671,35;55,36;28,46;37,15;285;Burger;Chicken;Regular;Global Chain;2,36;0,0999;49,8;17;33;1;121;2,36;Below Median
Burger King;Köfteburger;357,7;29;12;21,07;285;Burger;Beef;Regular;Global Chain;1,26;0,0421;53;13,4;32,4;0;62,1;4,59;Below Median
Burger King;Klasik Gurme Tavuk;698,84;62,32;32,11;44,59;300;Sandwich;Chicken;Regular;Global Chain;2,33;0,107;57,4;18,4;35,7;1;139;2,16;Below Median
Burger King;Spicy Gurme Tavuk;632,16;63,1;32,25;36,92;300;Sandwich;Chicken;Regular;Global Chain;2,11;0,1075;52,6;20,4;39,9;1;132,3;2,27;Below Median
Burger King;Big King;600,69;43,59;28,71;47,18;375;Burger;Beef;Regular;Global Chain;1,6;0,0766;70,7;19,1;29;1;119,5;3,14;Above Median
Burger King;Hamburger;245,61;28,88;10,61;14,93;265;Burger;Beef;Regular;Global Chain;0,93;0,04;54,7;17,3;47;0;54,4;4,87;Below Median
Burger King;Double Cheeseburger;465,04;29,88;29,06;25,78;360;Burger;Beef;Large;Global Chain;1,29;0,0807;49,9;25;25,7;1;84,7;4,25;Above Median
Burger King;King Boy Patates;490,67;68,66;5,54;21,54;90;Side;None/Vegetarian;Large;Global Chain;5,45;0,0616;39,5;4,5;56;1;95,7;0,94;Below Median
Burger King;Büyük Boy Patates;409,85;57,35;4,63;17,99;85;Side;None/Vegetarian;Large;Global Chain;4,82;0,0545;39,5;4,5;56;0;80;1,06;Below Median
Burger King;Orta Boy Patates;334,81;46,85;3,78;14,07;80;Side;None/Vegetarian;Medium;Global Chain;4,19;0,0472;37,8;4,5;56;0;64,7;1,24;Below Median
Burger King;Küçük Boy Patates;213,59;29,89;2,41;9,38;75;Side;None/Vegetarian;Small;Global Chain;2,85;0,0321;39,5;4,5;56;0;41,7;1,8;Below Median
Burger King;Dev Kutu Boy Patates;1050,61;147,02;11,87;46,12;125;Side;None/Vegetarian;Large;Global Chain;8,4;0,095;39,5;4,5;56;0;205;0,61;Below Median
Burger King;Kova Boy Patates;704,26;98,55;7,95;30,91;110;Side;None/Vegetarian;Large;Global Chain;6,4;0,0723;39,5;4,5;56;0;137,4;0,8;Below Median
Burger King;Küçük Boy Tırtıklı Patates;210,6;23,06;1,82;11,64;75;Side;None/Vegetarian;Small;Global Chain;2,81;0,0243;49,7;3,5;43,8;0;36,5;2,05;Below Median
Burger King;Orta Boy Tırtıklı Patates;327,24;36,66;2,83;18,08;80;Side;None/Vegetarian;Medium;Global Chain;4,09;0,0354;49,7;3,5;44,8;0;57,6;1,39;Below Median
Burger King;Büyük Boy Tırtıklı Patates;395,28;44,29;3,42;21,84;85;Side;None/Vegetarian;Large;Global Chain;4,65;0,0402;49,7;3,5;44,8;0;69,6;1,22;Below Median
Burger King;King Boy Tırtıklı Patates;460,08;51,55;3,98;25,42;90;Side;None/Vegetarian;Large;Global Chain;5,11;0,0442;49,7;3,5;44,8;1;80,9;1,11;Below Median
Burger King;Dev Kutu Boy Tırtıklı Patates;1215;136,13;10,05;67,13;125;Side;None/Vegetarian;Large;Global Chain;9,72;0,0804;49,7;3,3;44,8;0;213,3;0,59;Below Median
Burger King;Kova Boy Tırtıklı Patates;790,56;88,57;6,83;43,68;110;Side;None/Vegetarian;Large;Global Chain;7,19;0,0621;49,7;3,5;44,8;0;139,1;0,79;Below Median
Burger King;8'li Soğan Halkası;258,91;31,82;3,85;12,95;80;Side;None/Vegetarian;Regular;Global Chain;3,24;0,0481;45;5,9;49,2;0;48,6;1,65;Below Median
Burger King;12'li Soğan Halkası;388,37;47,73;5,78;19,43;95;Side;None/Vegetarian;Regular;Global Chain;4,09;0,0608;45;6;49,2;0;72,9;1,3;Below Median
Burger King;16'lı Soğan Halkası;499,97;61,45;7,44;25,02;110;Side;None/Vegetarian;Regular;Global Chain;4,55;0,0676;45;6;49,2;0;93,9;1,17;Below Median
Burger King;9'lu Çıtır Peynir;620,28;46,31;23,69;37,8;150;Side;None/Vegetarian;Regular;Global Chain;4,14;0,1579;54,8;15,3;29,9;0;107,8;1,39;Below Median
Burger King;6'lı Çıtır Peynir;413,52;30,88;15,79;25,02;120;Side;None/Vegetarian;Regular;Global Chain;3,45;0,1316;54,5;15,3;29,9;0;71,7;1,67;Below Median
Burger King;4'lü Çıtır Peynir;275,68;20,58;10,53;16,08;100;Side;None/Vegetarian;Small;Global Chain;2,76;0,1053;52,5;15,3;29,9;0;47,2;2,12;Below Median
Burger King;6'lı BK King Nuggets;206,23;1,09;15,07;12,11;110;Nuggets;Chicken;Regular;Global Chain;1,87;0,137;52,8;29,2;2,1;1;28,3;3,89;Below Median
Burger King;9'lu BK King Nuggets;309,34;13,09;22,61;18,16;125;Nuggets;Chicken;Regular;Global Chain;2,47;0,1809;52,8;29,2;16,9;1;53,9;2,32;Below Median
Burger King;6'lı Chicken Tenders;237,12;16,09;12,38;13,25;110;Chicken Piece;Chicken;Regular;Global Chain;2,16;0,1125;50,3;20,9;27,1;0;41,7;2,64;Below Median
Burger King;9'lu Chicken Tenders;355,68;25,34;18,58;19,87;125;Chicken Piece;Chicken;Regular;Global Chain;2,85;0,1486;50,3;20,9;28,5;0;63,8;1,96;Below Median
